,kingdom,phylum,class,order,family,genus
0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela
1,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
2,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes
3,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Junonia
4,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
5,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
6,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma
7,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
8,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthetrum
9,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum
10,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates
11,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
12,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius
13,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus
14,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
15,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa
16,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
17,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus
18,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
19,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus
20,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
21,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis
22,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus
23,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus
24,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita
25,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca
26,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris
27,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus
28,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium
29,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax
30,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
31,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia
